the_geom,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,COST,indoor,type,category,description,image
POINT (-74.03231077573365 40.60900866850688),Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop,,Brooklyn,"11,252",FALSE,TRUE,living,military,"The mission of the Harbor Defense Museum of New York City is to collect, preserve, exhibit, and interpret historically significant material related to the history of Fort Hamilton and the seacoast defense in New York. The museum is located in part of the garrison’s original masonry fort that is now listed on the National Register of Historic Places. As the only Army Museum in New York City, the Harbor Defense Museum has a fine collection of military artifacts from the American Revolution to World War II. The museum is free, open to the general public and welcomes tour groups of all kinds.

Fort Hamilton
Built between 1825 and 1831, Fort Hamilton became part of a system of fortifications built throughout New York City. The fort is named in honor of Alexander Hamilton. Fort Hamilton had two missions. The first was to support actions against enemy warships seeking to pass through the Narrows, the primary entrance into New York City’s harbor. Its second was to defend itself and the other Narrows forts against land based infantry attacks. Its dry ditch was a carefully conceived kill zone. The caponier was a flank battery designed to protect the rear of Fort Hamilton from an infantry led attack. Today the museum is located in the caponier, a rare structure in military architecture.",https://history.army.mil/portals/143/Images/Museums/Harbor%20Defense%20Museum/ftHamilton_gal_12.jpg?ver=zbXTxDI4wqk5b4LjBQsDFA%3D%3D
POINT (-73.94682282230515 40.833452146758084),Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,,New York,"10,032",FALSE,TRUE,culture,Hispanic,"The Hispanic Society of America was founded in 1904 by Archer M. Huntington with the intent of compiling, both written and visual, the history and culture of the Iberian Peninsula. The original collection was assembled by Huntington, and the statues on the terrace were executed by his wife Anna. The museum was opened in January 1908, and an additional building was added in 1930. Such masters as El Greco, Velasquez, Goya, and Morales adorn the walls with their art. There is also a Roman glass from the 1st Century, an illuminated bible from the 15th century and a fine collection of polychrome wood carvings.

",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaPVx79o-lVqwDfzORNc0us7pnpiGRulBIFA&s
POINT (-73.89098784384107 40.87835786499017),Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St,,Bronx,"10,468",FALSE,TRUE,history,injustice,"The Holocaust Museum & Center for Tolerance and Education (HMCTE) is a state-of-the-art museum, educational center and gift shop located conveniently on the campus of Rockland Community College in the beautiful Hudson Valley. 

The Museum, its exhibits and its educational programming allow visitors to learn from the past to approach the challenges of today with empathy, moral courage, kindness and strength. The Museum relies on its artifacts, exhibits, historical narrative, innovative digital programming, robust video anthologies, survivor testimonies and extensive research to create an environment for visitors that is thought-provoking and empowering. 

Through its work, HMCTE is able to foster humanity through education.",https://images.squarespace-cdn.com/content/v1/61eb133bb53e8f5db222bb83/3883f246-e4e3-4efd-a55b-59a2fdc1a120/19_Justice_forAW.jpg
POINT (-74.01808694309555 40.67557193487433),Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St.,,Brooklyn,"11,231",FALSE,TRUE,living,boat,"The Lehigh Valley No. 79 barge is an all-wooden lighter built for the Lehigh Valley Railroad in 1914 to shuttle cargo between New Jersey railyards and ships around the Port of New York. David Sharps found it in the Edgewater, NJ tideflats in 1985 and began its restoration into what would become the Waterfront Museum. Located in Red Hook, the museum features everything from a 94-year-old wooden barge to tugboats and a showboat captain’s attire.
",https://waterfrontmuseum.org/wp-content/uploads/2023/07/E40886AB-5060-42EA-AA68-2DF9D4200D02_1_105_c.jpeg
POINT (-73.983836726072 40.756021151222605),International Center of Photography,(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas,,New York,"10,036",FALSE,TRUE,art,photography,"The International Center of Photography is the world’s leading institution dedicated to photography and visual culture. Cornell Capa founded ICP in 1974 to champion “concerned photography”—socially and politically minded images that can educate and change the world. Through our exhibitions, education programs, community outreach, and public programs, ICP offers an open forum for dialogue about the power of the image. Since its founding in 1974 by Cornell Capa with help from Micha Bar-Am in Willard Straight House, on Fifth Avenue's Museum Mile, ICP has presented over 500 exhibitions, bringing the work of more than 3,000 photographers and other artists to the public in one-person and group exhibitions and provided various classes and workshops for students.",https://www.icp.org/sites/default/files/styles/announcement_banner/public/2024-12/ICP_LES_AFradkin_2971-jpg-11540%C3%978655--12-03-2024_07_20_PM_0.png.webp?itok=B6d_ZiHY
POINT (-74.0008918064129 40.764783273941696),Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,,New York,"10,036",FALSE,TRUE,history,military/maritime,"The Intrepid Museum (originally the Intrepid Sea, Air & Space Museum) is a military and maritime history museum in New York City, United States. It is located at Pier 86 at 46th Street, along the Hudson River, in the Hell's Kitchen neighborhood on the West Side of Manhattan. The museum is mostly composed of exhibits, aircraft, and spacecraft aboard the museum ship USS Intrepid, a World War II–era aircraft carrier and National Historic Landmark, in addition to a cruise missile submarine named USS Growler and a Concorde on Pier 86.

The Intrepid Museum spans three of the carrier's decks; from top to bottom, they are the flight, hangar, and gallery decks. Most of the museum's collection is composed of aircraft, many of which were used by the United States Armed Forces. Among the museum's collection are a Concorde SST, a Lockheed A-12 supersonic reconnaissance plane, and the Space Shuttle Enterprise.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnrXEYfF0kXLkH0Z2kOtj1VzxI6KaMgsKHEQ&s
POINT (-73.93765514503832 40.76695661305254),Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard,,Long Island City,"11,106",FALSE,FALSE,art,garden,"Founded in 1985 by category-defying artist Isamu Noguchi (1904–1988), The Isamu Noguchi Garden Museum (now known as The Noguchi Museum), was the first museum in the United States to be established, designed, and installed by a living artist to show their own work. Located in Long Island City, Queens, the Museum itself is widely viewed as among the artist’s greatest achievements.

Holding the world’s largest collection of his works, it features open air and indoor galleries in a repurposed 1920s industrial building and a serene outdoor sculpture garden. Consistent with Noguchi’s interest in art being experiential, works are often displayed without barriers or interpretation to encourage visitors to form personal and introspective connections.

Accompanying the permanent installations placed by Noguchi, the Museum presents temporary exhibitions exploring themes in Noguchi’s work, his milieu and collaborators, and his enduring influence today among contemporary practitioners across disciplines. It exhibits a comprehensive selection of Noguchi’s material culture, from sculpture, models, and drawings, to his personal possessions, and manages the artist’s archives and catalogue raisonné. Through its rich collection, exhibitions, and programming, the Museum facilitates scholarship and learning for audiences of all ages and backgrounds.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9F98MonOhCiKl6exAB1_aRUic0Zi1inh-HA&s
POINT (-73.99749410687575 40.719194628210495),Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St.,,New York,"10,013",FALSE,TRUE,culture,European,"The Italian American Museum is dedicated to preserving, presenting, and celebrating the history, culture, and contributions of Italian Americans in the United States. Through exhibitions, educational programming, and public events, the Museum explores the diverse experiences of Italian Americans and their role in shaping the social, cultural, and economic fabric of the nation. The Museum serves as a space for scholarship, storytelling, and community engagement, connecting past generations with contemporary voices.

As a 501(c)(3) nonprofit organization, the Italian American Museum is committed to education, accessibility, and cultural preservation. By working with scholars, artists, educators, and community members, the Museum fosters a deeper understanding of Italian American identity within the broader American narrative. Its mission is to ensure that these histories are documented, shared, and sustained for future generations through research, exhibitions, and public dialogue.",https://images.ctfassets.net/1aemqu6a6t65/3mk45Q9wRtkrqvY93C2AcS/31805c39f23a474c3ad91aee2fd8c576/italian-america-museum-will-steacy-56?w=1200&h=800&q=75
POINT (-74.00664185516354 40.72335066225381),Jackie Robinson Museum,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,75 Varick Street 2nd Floor,New York,"10,013",FALSE,TRUE,people,sports,"The Jackie Robinson Museum is a museum and educational center on Varick Street in Manhattan that honors the legacy of Jackie Robinson. The museum, the city's first to primarily focus on the Civil Rights Movement, opened in 2022 after more than fourteen years of planning and construction. The museum's collection includes more than four thousand artifacts, most from the Robinson family's own collection, highlighted by Robinson’s original National Baseball Hall of Fame plaque.",https://assets.simpleviewinc.com/simpleview/image/upload/q_75/v1/crm/newyorkstate/acb77f2d78ba50032398d3230c6b684946d003e8907ebf0bab8c47e24936920b_5DFD7831-0E91-DBE8-05663E027CBAC045-5dfd76e6c083b63_5dfd8a18-e634-1081-890dca2b2f20f22a.jpg
POINT (-74.13812336582549 40.57631283530562),Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,,Staten Island,"10,306",FALSE,TRUE,culture,Himalayan,"The Jacques Marchais Museum of Tibetan Art is a museum located on the residential Lighthouse Hill in Egbertville, Staten Island, New York City. It is home to one of the United States' most extensive collections of Himalayan artifacts. The museum was created by Jacques Marchais, (1887–1948) an American woman, to serve as a bridge between the West and the rich ancient and cultural traditions of Tibet and the Himalayan region. Marchais designed her educational center to be an all-encompassing experience: it was built to resemble a rustic Himalayan monastery with extensive terraced gardens and grounds and a fish and lotus pond.",https://www.wgpfoundation.org/app/uploads/2019/07/Museum-photo-1.jpg
POINT (-73.94694494514727 40.850220034849166),Jeffrey's Hook lighthouse (Little Red Lighthouse),(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River,,New York,"10,033",FALSE,FALSE,living,lighthouse,"The Little Red Lighthouse stopped being used as a functional lighthouse long ago, but over the years this 40-foot-high structure has become a beacon of another kind. Located underneath the George Washington Bridge along this treacherous section of the Hudson River once known as Jeffrey’s Hook, this is one of the few surviving lighthouses in New York City and serves as a quaint reminder of the area’s history. 

Today, visitors climb a long, iron stair to the top of the tower, where the lantern room is again fitted with a working lens that blinks proudly at cargo barges and passenger ships sailing under the George Washington Bridge.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj0mryk33LpZeINM8xFp2RLoxgyMZ7NJyMVA&s
POINT (-73.95718705931057 40.785402256425414),Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,,New York,"10,128",FALSE,TRUE,culture,Jewish,"The Jewish Museum is an art museum committed to illuminating the complexity and vibrancy of Jewish culture for a global audience. Through distinctive exhibitions and programs that present the work of diverse artists and thinkers, we share ideas, provoke dialogue, and promote understanding.

The Jewish Museum was the first institution of its kind in the United States and is one of the oldest Jewish museums in the world. The Museum maintains a unique collection of nearly 30,000 works of art, ceremonial objects, and media reflecting the global Jewish experience over more than 4,000 years. Located on New York City's Museum Mile, in the landmarked Warburg mansion, the Jewish Museum is a welcoming home to an ever-changing and dynamic range of opportunities for exploring multiple facets of the global Jewish experience.",https://www.nyc-arts.org/wp-content/uploads/2014/06/JM-with-new-banner-retouched.jpg
POINT (-74.00965483733572 40.75233019732761),John J. Harvey Fireboat,,http://www.fireboat.org/,Pier 66 at West 26th Street,,New York,"10,001",0,TRUE,living,boat,"John J. Harvey is a fireboat formerly of the New York City Fire Department (FDNY). She is one of the most powerful fireboats ever built, capable of pumping up to 18,000 gallons of water a minute. The boat famously returned to service following the September 11, 2001 attacks.

Saved from the scrap yard by a dedicated group of volunteers, she is now moored at Pier 66 Maritime, at 26th St. and the Hudson River alongside the lightship Frying Pan. The fireboat now serves as an operational museum and education center, offering free public trips to New Yorkers and visitors.
",https://hudsonriverpark.org/app/uploads/2021/07/johnharvey-scaled.jpg
POINT (-73.80376062063522 40.703042019259755),King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue,,Queens,"11,432",FALSE,TRUE,living,house,"Rufus King (1755 - 1827) bought this house and property in 1805 as a country estate, where he led a conventional family life in Jamaica, Queens (then Long Island) with his wife Mary Alsop King, their five children, and hired help. After moving in full time, they enlarged the house in 1810 and expanded the property to 150 acres. A devoted scholar of agricultural science, Rufus focused on improving the land and experimenting with crops, turning it into a successful working farm. 

Today King Manor Museum is the second longest-running historic house museum in New York City, and their mission is to interpret founding father Rufus King’s political legacy and antislavery history to teach critical thinking for a healthier democracy.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWBJItTiaZUY8Qg3dUNZRPR5AIrxyXjWiIDw&s
POINT (-73.82415641889934 40.763595705057114),Kingsland Homestead,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue,,Queens,"11,354",FALSE,TRUE,living,house,"Kingsland Homestead is an 18th-century house located in Flushing, Queens, New York City. It is the home of the remains of The Weeping Beech, a landmark weeping beech tree, believed to have been planted in 1847. The homestead is also close to the 17th-century Bowne House, the location of the first Quaker meeting place in New Amsterdam. The homestead is operated by the Queens Historical Society, whose quarters are inside; the homestead is open to the public as a museum. ",https://historichousetrust.org/wp-content/uploads/2020/10/In-Line-Image_0007_Kingsland-Homestead-in-line-image-1-1024x670.jpg
POINT (-73.93514567999574 40.74396007246262),LaGuardia and Wagner Archives,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,Fiorello H. LaGuardia Community College/CUNY Room E-238,Queens,"11,101",FALSE,TRUE,history,location,"The LaGuardia and Wagner Archives was established in 1982 to collect, preserve, and make available primary materials documenting the social and political history of New York City, with an emphasis on the mayoralty and the borough of Queens. The Archives serves researchers, journalists, students, scholars, exhibit planners, and policy makers examining the history of Greater New York. The Archives also produces public programs exploring that history. This growing repository contains the papers of several mayors, the records of the New York City Council, the New York City Housing Authority, the piano maker Steinway & Sons, and a Queens History Collection.",https://qns.com/wp-content/uploads/2025/10/Screenshot-2025-10-17-103141.jpg?quality=51
POINT (-73.96381416125242 40.66437995594988),Lefferts Historic House,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,Flatbush and Ocean Avenues and Empire Boulevard,Brooklyn,"11,215",0,TRUE,living,house,"Lefferts Historic House is an 18th-century Flatbush farmhouse and New York City landmark, jointly operated by Prospect Park Alliance and the Historic House Trust. The farmhouse was originally located just blocks from the park (563 Flatbush Avenue near Maple Street) and moved to Prospect Park in 1918. The museum within this farmhouse explores the living legacies of the Indigenous people of Lenapehoking and the Africans enslaved by the Lefferts family. 

One of the few remaining farmhouses from the Village of Flatbush, Lefferts Historic House offers thought-provoking exhibits, cultural performances and imaginative play to honor the legacies of the Indigenous and African peoples that continue to shape day-to-day life in Brooklyn today.",https://historichousetrust.org/wp-content/uploads/2020/10/header_0007_Lefferts-header.jpg
POINT (-73.98870226140056 40.75631816305801),Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street,,New York,"10,036",40,TRUE,entertainment,,"Madame Tussauds New York is a tourist attraction located on 42nd Street in the Times Square neighborhood of Midtown Manhattan in New York City. Madame Tussauds was founded by the wax sculptor Marie Tussaud, and is now operated by the United Kingdom-based entertainment company Merlin Entertainments. 

Madame Tussauds New York in the heart of Times Square is the only place with no ropes or barriers holding you back from living your best life with your favorite stars. Voted as one of New York’s most unique attractions, Madame Tussauds invites you to experience famous moments with the world’s most iconic musicians, A-list stars, sports legends, world leaders and more. With over 85,000 square feet of interactive entertainment, including our Mission: Undead, NYE in NYC, Marvel Super Heroes 4D Experience, the world famous attraction is bigger and better than ever. ",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/af/f0/7b/madame-tussauds-seasons.jpg?w=1200&h=-1&s=1
POINT (-73.99234604790877 40.72765741724545),Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street,,New York,"10,003",FALSE,TRUE,living,house,"In 1832, 190 years ago, Joseph Brewster (a hatter by trade, who also speculated in real estate) built a brick and marble row house on Fourth Street in what was then a quiet, exclusive suburb of New York City. In 1835, three years later, prosperous merchant Seabury Tredwell purchased the house amnd moved in with his wife, Eliza, their eight children, and four Irish servants. They lived in the house for almost 100 years. Today, miraculously, the merchant’s house still stands. It has been open to the public as a museum since 1936.

Through public education programs and exhibitions, restoration of its 1832 landmark building, and conservation of its original collections, the Museum tells the story of the domestic life of a wealthy merchant family and their four Irish servants in the mid-19th century, when the mercantile seaport of New York City emerged as a growing metropolis and the commercial emporium of America.
",https://historichousetrust.org/wp-content/uploads/2020/10/Denis-Vlasov-Merchants-House-Parlor-1024x670.jpg
POINT (-73.96345111145274 40.77942354199044),Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue,,New York,"10,028",FALSE,TRUE,art,,"The Metropolitan Museum of Art presents over 5,000 years of art from around the world for everyone to experience and enjoy. The Museum lives in two iconic sites in New York City—The Met Fifth Avenue and The Met Cloisters. By floor area, it is the fourth-largest museum in the world and the largest art museum in the Americas. In 2000, its permanent collection had over two million works; it currently lists a total of 1.5 million works.

The Metropolitan Museum of Art was founded in 1870, the museum was established by a group of Americans, including philanthropists, artists, and businessmen, with the goal of creating a national institution that would inspire and educate the public. The museum's permanent collection consists of works of art ranging from the ancient Near East and ancient Egypt, through classical antiquity to the contemporary world. It includes paintings, sculptures, and graphic works from many European Old Masters, as well as an extensive collection of American, modern, and contemporary art. The Met also maintains extensive holdings of African, Asian, Oceanian, Byzantine, and Islamic art. The museum is home to encyclopedic collections of musical instruments, costumes, and decorative arts and textiles, as well as antique weapons and armor from around the world. Several notable interiors, ranging from 1st-century Rome through modern American design, are installed in its galleries.",https://cdn.sanity.io/images/cctd4ker/production/34c2372bcf75f2510dcb78e31b5413ee0759c105-3200x1800.jpg
POINT (-73.97988117952895 40.75078436678353),Mexican Cultural Institute of New York,(212) 217-6422,http://www.lavitrina.com/,27 E. 39th St.,,New York,"10,016",FALSE,TRUE,culture,Latin American,"The Mexican Cultural Institute was established in 1992 as a result of the success of the exhibition: “Mexico: Splendors of Thirty Centuries” held at the Metropolitan Museum of Art in New York City in 1990. Since its creation, the Mexican Cultural Institute (MCI) has become the cornerstone of Mexican cultural and artistic expression in New York City. Throughout these past years, the focused leadership of its staff and Board has contributed to significantly broaden the scope and reach of its activities.

The Mexican Cultural Institute of New York is a branch of the Mexican Consulate and a non-profit organization that works in collaboration with other New York based cultural institutions such as museums, galleries, publishing houses and universities, in order to accomplish its two essential missions:",https://pbs.twimg.com/media/GZELMZwXEAA-ibZ.jpg
POINT (-73.98132148561602 40.74929507249673),Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue,,New York,"10,016",FALSE,TRUE,library,,"A museum and independent research library located in the heart of New York City, the Morgan Library & Museum began as the personal library of financier, collector, and cultural benefactor Pierpont Morgan. As early as 1890 Morgan had begun to assemble a collection of illuminated, literary, and historical manuscripts, early printed books, and old master drawings and prints.

Mr. Morgan's library, as it was known in his lifetime, was built between 1902 and 1906 adjacent to his New York residence at Madison Avenue and 36th Street. Designed by Charles McKim of the architectural firm McKim, Mead & White, the library was intended as something more than a repository of rare materials.

Over the years—through purchases and generous gifts—The Morgan Library & Museum has continued to acquire rare materials as well as important music manuscripts, early children's books, Americana, and materials from the twentieth century.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWqSd0nXiPsU9VFaRGC-Br63YclnvExIll_A&s
POINT (-73.93857438792728 40.834447679265466),Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace,,New York,"10,032",FALSE,TRUE,living,house,"As the oldest surviving house in Manhattan, the Morris-Jumel Mansion has borne witness to much of New York City’s rich and diverse history. Built in 1765 for the Morris family, the original property, located on the ancestral homeland of the Lenape people, comprises fifty modern city blocks. The house would later serve as the headquarters for General George Washington as well as the British military and Hessian troops during the American Revolution. 

The mid-20th century saw the neighborhood develop into a vibrant home to many artists and celebrities from the Harlem Renaissance including Paul Robeson, Jackie Robinson, Thurgood Marshall, and Duke Ellington, who once referred to the Morris-Jumel Mansion as “the jewel in the crown of Sugar Hill.” 

Today, the Mansion and its neighboring buildings are a part of the Jumel Terrace Historic District. Because of this, the appearance of the immediate neighborhood has changed very little since the beginning of the twentieth century. ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShlhKshKjJNvWDbrUJBtRT214ea3aPrcTquA&s
POINT (-73.95971082928116 40.76052578447419),Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street,,New York,"10,021",FALSE,TRUE,living,house/garden,"The Mount Vernon Hotel Museum & Garden presents the period of the Mount Vernon Hotel which operated from 1826 until 1833. Constructed in 1799 as a carriage house for a 23-acre estate, and converted into the Mount Vernon Hotel in 1826, this stone building sits on land originally owned by Colonel William Stephens Smith, and his wife Abigail Adams Smith, daughter of John Adams.

This fashionable country resort was popular among New Yorkers who wished to escape the hustle and bustle of the city which at that time extended only as far north as 14th Street. The Hotel advertised itself as “free from the noise and dust of the public roads, and fitted up and intended for only the most genteel and respectable” clientele. In 1833, the house became the home for three generations of a New York City family. In 1905, as the area became more industrialized, the building was purchased by Standard Gas Light Company (today’s Con Edison). The Colonial Dames of America (CDA), a women’s lineage society committed to historic education and preservation, purchased the building in 1924. After extensive restoration to the structure, CDA opened the site to the public in 1939. ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5ExWBFCFdZnifW0aNkzQNKP8zeTLM78Xmvw&s
POINT (-73.97499987035063 40.75824830530754),Municipal Art Society,(212) 935-3960,http://mas.org/,457 Madison Avenue,,New York,"10,022",FALSE,TRUE,art,location,"The Municipal Art Society of New York (MAS) was founded in 1893 to work towards the creation of a livable city, to enhance the lives of all New Yorkers and to use the municipal arts of architecture, landscape architecture, planning, preservation, and public art to improve and protect the built environment of New York.
MAS envisions a future in which all New Yorkers share in the richness of city life—where growth is balanced, character endures, and a resilient future is secured. For over 130 years our advocacy efforts have led to the creation of the New York City Planning Commission, Public Design Commission, Landmarks Preservation Commission, and the Tribute in Light; the preservation of Grand Central Terminal, the lights of Times Square, and the Garment District; the conservation of more than 50 works of public art; and the founding of such civic organizations as the Public Art Fund, the New York Landmarks Conservancy, P.S. 1, the Historic Districts Council, the Park Avenue Armory Conservancy, and the Waterfront Alliance.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQmpWuNvfz4KXsGWJfGxgNLWeVs0OUfGsPUg&s
POINT (-73.92822391104288 40.74634173827231),The Africa Center,(718) 784-7700,http://www.africanart.org/,36-01 43rd Avenue,3rd Floor,Queens,"11,101",FALSE,TRUE,culture,African,"The Africa Center provides a gateway for engagement with contemporary Africa.
The Africa Center is a 501(c)(3) nonprofit institution committed to the principle that a just and peaceful world begins with a flourishing Africa in deep communion with its diaspora. Located in New York City, The Africa Center convenes artists, creatives, cultural leaders, entrepreneurs, investors, and policymakers to shape artistic expression, narratives, investments, and partnerships critical to the prosperous and secure future of Africa and its diaspora.",https://identitydesigned.com/images/ocd/museum-african-art-07.jpg
POINT (-74.00912160394257 40.706484588627994),Museum of American Finance,(212) 908-4110,http://www.moaf.org/index,48 Wall Street,,New York,"10,005",FALSE,TRUE,history,finance,"Finance impacts everyone. As a socially relevant organization, the Museum of American Finance seeks to improve understanding of the influence of financial institutions and capital markets on the US and global economies, and on individuals’ lives. The nation’s only independent museum dedicated to finance and financial history educates the public through exhibits, financial literacy programs and public events. The Museum, an affiliate of the Smithsonian Institution, seeks to empower individuals of all backgrounds to strive toward financial independence, while encouraging curiosity and discovery.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/cf/5d/43/museum-of-american-finance.jpg?w=1200&h=-1&s=1
POINT (-73.96690030997947 40.76471562244387),Museum of American Illustration,(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St.,,New York,"10,021",18,TRUE,art,,"The Society of Illustrators is located at 128 East 63rd Street in a graceful, five-story townhouse on a quiet residential block on the Upper East Side. In the 1950s, the street-level gallery opened, and in 1981, Society president John Witt spearheaded a campaign by to create the Museum of American Illustration at the Society of Illustrators. The lower level was converted into a second gallery, and greatly increased the space for year-round exhibitions.

The Permanent Collection of the Museum of American Illustration at the Society of Illustrators is one of the most comprehensive collections of this genre in the world. Comprised of nearly 2,000 works by many of the greatest names in American illustration, this celebrated collection is ever expanding thanks to purchase and donation from our membership, art patrons and estates. These works are fully cataloged with portions of the collection constantly on rotating display including quarterly thematic exhibits mounted in the Hall of Fame Gallery.",https://www.wonderfulmuseums.com/wp-content/uploads/2026/01/Long-Beach-Museum-of-Art.png
POINT (-73.98200725142944 40.76740607395742),Museum of Arts & Design (MAD),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle,,New York,"10,019",FALSE,TRUE,art,contemporary,"The Museum first opened its doors in 1956 as the Museum of Contemporary Crafts, with an original mission of recognizing the craftsmanship of contemporary American artists. Nurtured by the vision of philanthropist and craft patron Aileen Osborn Webb, the Museum mounted exhibitions that focused on the materials and techniques associated with craft disciplines.

MAD champions contemporary makers across creative fields, presenting artists, designers, and artisans who apply the highest level of ingenuity and skill to their work. MAD provides an international platform for practitioners who are influencing the direction of cultural production and driving 21st-century innovation, fostering a participatory setting for visitors to have direct encounters with skilled making and compelling works of art and design.",https://madmuseum.org/sites/default/files/styles/5_x_3_small/public/2025/06/barnes-hero.jpg
POINT (-73.99919191942232 40.71945394633874),Museum Of Chinese In America,(212) 619-4785,http://www.mocanyc.org/,215 Centre Street,,New York,"10,013",FALSE,TRUE,culture,Asian,"The Museum of Chinese in America (MOCA) is dedicated to preserving, illuminating, and celebrating the rich history and contributions of Chinese in America. By fostering understanding and greater recognition of our experiences, they endeavor to inspire and connect all Americans. It is a nonprofit 501(c)(3) education and cultural institution that presents the living history, heritage, culture, and diverse experiences of Chinese Americans through exhibitions, educational services and public programs. Much of its collection was damaged or destroyed in a fire in January 2020. The museum reopened to the public on July 15, 2021.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUMbLKSbey8z4HLQxIqLVXiVOC9opWcmgOtA&s
POINT (-73.99670247583494 40.7247979456424),Museum of Comic and Cartoon Art (MoCCA),(212) 254 3511,http://www.moccany.org/,594 Broadway,Suite 401,New York,"10,012",FALSE,TRUE,art,artifacts,"The Museum of Comic and Cartoon Art (MoCCA) is a not-for-profit arts organization and former museum in New York City devoted to comic books, comic strips and other forms of cartoon art. MoCCA sponsored events ranging from book openings to educational programs in New York City schools, and hosted classes, workshops and lectures. MoCCA was perhaps best known for its annual small-press comic convention, known as MoCCA Fest, first held in 2002.",https://www.cartoonbrew.com/wp-content/uploads/mocca-e1341942419293.jpg
POINT (-73.97442477664784 40.68524514383062),Museum of Contemporary African Diasporan Arts (MoCADA),(718) 230-0492,http://www.mocada.org/,80 Hanson Place,,Brooklyn,"11,217",FALSE,TRUE,culture,African,"The Museum of Contemporary African Diasporan Arts (MoCADA) celebrates the cultural breadth of the African diaspora by connecting the intersectional experiences of African people worldwide through the lens of art, education, and advocacy. Born in 1999, MoCADA grew from the graduate thesis of our founder Laurie Angela Cumbo on the feasibility of an African art museum contributing to neighboring communities. Twenty-five years later, MoCADA is more than a museum. Since 2023, the museum has operated within an expanded campus which includes three venues:
- Culture Lab II, the flagship gallery, performance space, giftshop, and cafe, located at 10 Lafayette Avenue, Brooklyn, NY 11217
- Ubuntu Garden, a community garden + public art space, which is located at 48 Lafayette Avenue, Brooklyn, NY 11217
- Abolition House, a seasonal art residency on Governors Island",https://mocada.org/wp-content/uploads/2020/04/tours-1.jpg
